gene ID	CK	MeJa	PEG	AgNO3
ASA1-Cac_g008782	7.41472948	11.20441715	12.83454902	4.896470184
ASA2-Cac_g018456	0.234433579	0.508421605	0.653774384	0.247688736
TSB-Cac_g001032	27.05442049	31.62216451	28.90818627	28.39186775
TDC1-Cac_g018974	12.11771651	39.56768653	28.1031003	5.692417307
TDC2-Cac_g023139	1.006248187	1.185681803	10.63450869	59.45993429
DXS-Cac_g024944	3.095454234	136.0267676	128.7649261	2.709098799
DXR-Cac_g016318	55.02708847	51.13055854	53.07414509	38.42254983
CMS-Cac_g018722	11.74078708	9.283984974	7.844082748	5.922676233
CMK-Cac_g021688	17.69949692	19.01456474	20.22024576	14.17481615
MECS-Cac_g008169	34.00314916	50.81230032	54.06280059	30.28720714
HDS-Cac_g022763	51.62942251	42.24302627	46.5854312	29.54473158
HDR-Cac_g014659	276.4155043	368.0150492	404.302356	250.8026381
IPI1-Cac_g008847	71.95470988	162.7743112	121.5618653	118.6679862
IPI2-Cac_g027591	21.35865377	36.07350867	36.49049399	22.68094594
GPPS-Cac_g026508	7.860128513	12.45688379	10.37547184	9.678065764
GES-Cac_g014037	0.009477396	0.271457093	0.00906651	0
GOR-Cac_g027560	58.08593994	47.59919281	62.48633508	92.77375854
G10H-Cac_g027852	1.675956328	2.933315996	3.782291165	0.435977051
10HGO-Cac_g005530	0	0.04916327	0	0.014785178
IS-Cac_g006027	0.169449478	1.259189025	0.072993749	0.03069104
IO-Cac_g032709	0.008233321	0.570693763	0	0
7DLGT-Cac_g008744	0.570553742	2.797115084	0.276675704	0.719848686
LAMT-Cac_g005179	0	0	0	0.01132695
7DLH-Cac_g017137	19.93801234	81.02030275	134.4509682	106.0676501
7DLH-Cac_g012666	17.27802353	24.06815746	34.4114815	3.129031095
CPR1-Cac_g008486	58.08768813	328.8445548	205.7213707	60.38025176
CPR2-Cac_g008487	57.76006204	60.1142775	62.92329322	47.2647682
SGD-Cac_g024440	0	0	0.008252932	0
10OMT-Cac_g014785	16.39891	20.84938268	8.309271325	5.804244623
STR1-Cac_g030447	0.308256192	1.066552412	0.936014394	1.149355696
STR2-Cac_g030435	0.156274558	1.13521756	1.068542748	5.187330337
STR3-Cac_g030441	0	0.275188061	0	0.172236285
CYP71BE206_Cac_g004916	10.49053857	4.526813326	10.76677574	14.92754302
EH2-Cac_g013200	8.149596692	17.25322947	20.98126772	19.24172477
EH3-Cac_g011673	7.823506485	10.66566344	13.90754761	20.15714849
EH1-Cac_g006314	39.18146251	47.20424981	60.85041405	60.64950754
