gene ID	Immature bark	Cotyledons	Young flower	Immature fruit	Mature fruit	Mature leaf	Roots	Upper stem	Lower stem
ASA1-Cac_g008782	82.5922	3.35351	11.6669	20.8624	20.2258	6.21711	46.0848	43.6095	48.6852
ASA2-Cac_g018456	1.28379	0	13.5667	2.89485	2.80116	1.27637	0	1.10509	0.727282
TSB-Cac_g001032	66.3381	68.1064	55.2874	52.2816	58.7112	56.4629	62.9135	46.6613	72.0197
TDC1-Cac_g018974	449.122	124.401	81.3292	2.26758	10.2789	69.4027	153.267	207.07	429.162
TDC2-Cac_g023139	0.281257	9.92166	1.35093	65.088	101.013	0.0144868	1.40546	0.230415	0.0734857
DXS-Cac_g024944	4.18029	0.233574	4.97436	11.5307	50.0181	0.135645	1.63929	81.8062	0.221247
DXR-Cac_g016318	66.1639	120.222	23.7943	39.326	42.3551	68.3391	35.0612	39.9396	21.4949
CMS-Cac_g018722	55.6794	5.34153	6.33547	7.55779	10.3145	31.3838	12.9572	4.08049	3.80786
CMK-Cac_g021688	94.284	14.6034	16.1329	18.0864	17.5024	20.062	22.144	10.1098	11.4118
MECS-Cac_g008169	153.687	101.021	19.7618	27.0933	35.6336	74.992	37.1075	43.367	39.7764
HDS-Cac_g022763	324.727	23.8786	46.5721	91.8848	117.836	155.1	70.8938	50.6842	34.0435
HDR-Cac_g014659	592.53	60.788	126.972	382.695	547.135	398.144	107.28	172.05	58.1888
IPI1-Cac_g008847	34.2379	102.215	104.59	103.497	147.244	187.958	79.3571	31.5585	33.961
IPI2-Cac_g027591	231.867	60.6706	31.9945	59.9052	97.8299	34.3882	61.237	124.682	57.6915
GPPS-Cac_g026508	8.48737	4.913	8.11665	11.2192	12.4426	23.3023	9.74224	7.79261	4.32674
GES-Cac_g014037	421.65	0.076135	0.579893	0.229859	0.133294	0	33.0582	0.716318	24.2583
GOR-Cac_g027560	56.3793	31.3355	57.0069	90.1712	116.394	56.2146	12.0698	2.0867	20.4691
G10H-Cac_g027852	4.64797	1.99245	4.92367	3.54466	3.11851	0.857922	7.92708	81.5297	1.43959
10HGO-Cac_g005530	0.103542	0	0.602096	2.05134	0.231931	0	119.112	0.274652	0.243961
IS-Cac_g006027	972.128	2.96397	0.169563	1.07108	0.553943	0.133213	166.217	15.0586	217.603
IO-Cac_g032709	625.163	0.861554	0.118309	0.0650425	0.0566159	0.0138039	94.5294	1.26496	35.3695
7DLGT-Cac_g008744	316.749	3.64751	0.487437	2.79834	5.21369	0.528692	39.6134	0.294909	19.1721
LAMT-Cac_g005179	1.8037	0	0	0.113058	0	0	16.627	0.0287815	0
7DLH-Cac_g017137	479.34	29.1375	11.1846	180.952	194.82	67.7042	345.488	168.184	247.696
7DLH-Cac_g012666	12.4114	35.6764	3.01999	132.723	28.7592	5.11333	18.2799	16.8559	0.508589
CPR1-Cac_g008486	114.463	30.5464	35.3652	62.5446	85.8108	46.8208	81.3129	48.1328	76.9078
CPR2-Cac_g008487	105.232	35.6663	47.145	56.7182	65.5244	70.5256	70.6029	37.2322	69.71
SGD-Cac_g024440	0	0	0	0.0631916	0	0	6.89389	0	0
10OMT-Cac_g014785	25.1783	77.1858	0.0550206	0.425806	0.783856	99.1502	12.4451	3.43086	19.416
STR1-Cac_g030447	1.96467	0.152608	0.439664	2.80968	2.33433	0.276449	12.6926	14.403	0.252844
STR2-Cac_g030435	2.90085	0.154491	0.477592	7.85128	6.85583	0.18938	10.3803	23.5706	0.109712
STR3-Cac_g030441	89.2201	0.307127	0	0.356254	0	0.837487	3.41382	87.9314	0.406962
CYP71BE206_Cac_g004916	5.14702	2.31338	8.2273	7.69205	7.75726	2.32474	2.80728	1.4387	7.41123
EH2-Cac_g013200	34.2483	46.4612	13.0839	28.2746	46.1801	16.1491	34.4214	61.1879	37.2195
EH3-Cac_g011673	3.94139	5.24351	10.5749	9.36636	8.20085	3.00271	18.5662	6.64666	4.11184
EH1-Cac_g006314	55.3449	35.3545	126.388	100.514	113.901	15.675	37.7928	78.2966	38.2126
